GPUs,Batch Size,Training Time (Seconds)
1,32,521.9494552612305
1,64,527.4857196807861
1,128,533.102742433548
1,256,534.3181982040405
2,32,510.62570905685425
2,64,512.6908988952637
2,128,507.46632838249207
2,256,506.8013000488281
4,32,539.4637296199799
4,64,527.7729952335358
4,128,512.4949588775635
4,256,498.1548492908478
